gvkey,iid,datadate,tic,cusip,conm,trt1m
1161,1,20141130,AMD,7903107,ADVANCED MICRO DEVICES,-0.3571
1161,1,20141231,AMD,7903107,ADVANCED MICRO DEVICES,-4.3011
1161,1,20150131,AMD,7903107,ADVANCED MICRO DEVICES,-3.7453
1161,1,20150228,AMD,7903107,ADVANCED MICRO DEVICES,21.0117
1161,1,20150331,AMD,7903107,ADVANCED MICRO DEVICES,-13.8264
1161,1,20150430,AMD,7903107,ADVANCED MICRO DEVICES,-15.6716
1161,1,20150531,AMD,7903107,ADVANCED MICRO DEVICES,0.885
1161,1,20150630,AMD,7903107,ADVANCED MICRO DEVICES,5.2632
1161,1,20150731,AMD,7903107,ADVANCED MICRO DEVICES,-19.5833
1161,1,20150831,AMD,7903107,ADVANCED MICRO DEVICES,-6.2176
1161,1,20150930,AMD,7903107,ADVANCED MICRO DEVICES,-4.9724
1161,1,20151031,AMD,7903107,ADVANCED MICRO DEVICES,23.2558
1161,1,20151130,AMD,7903107,ADVANCED MICRO DEVICES,11.3208
1161,1,20151231,AMD,7903107,ADVANCED MICRO DEVICES,21.6102
1161,1,20160131,AMD,7903107,ADVANCED MICRO DEVICES,-23.3449
1161,1,20160229,AMD,7903107,ADVANCED MICRO DEVICES,-2.7273
1161,1,20160331,AMD,7903107,ADVANCED MICRO DEVICES,33.1776
1161,1,20160430,AMD,7903107,ADVANCED MICRO DEVICES,24.5614
1161,1,20160531,AMD,7903107,ADVANCED MICRO DEVICES,28.7324
1161,1,20160630,AMD,7903107,ADVANCED MICRO DEVICES,12.4726
1161,1,20160731,AMD,7903107,ADVANCED MICRO DEVICES,33.463
1161,1,20160831,AMD,7903107,ADVANCED MICRO DEVICES,7.8717
1161,1,20160930,AMD,7903107,ADVANCED MICRO DEVICES,-6.6216
1161,1,20161031,AMD,7903107,ADVANCED MICRO DEVICES,4.631
1161,1,20161130,AMD,7903107,ADVANCED MICRO DEVICES,23.2365
1161,1,20161231,AMD,7903107,ADVANCED MICRO DEVICES,27.2727
1161,1,20170131,AMD,7903107,ADVANCED MICRO DEVICES,-8.5538
1161,1,20170228,AMD,7903107,ADVANCED MICRO DEVICES,39.4407
1161,1,20170331,AMD,7903107,ADVANCED MICRO DEVICES,0.6224
1161,1,20170430,AMD,7903107,ADVANCED MICRO DEVICES,-8.5911
1161,1,20170531,AMD,7903107,ADVANCED MICRO DEVICES,-15.8647
1161,1,20170630,AMD,7903107,ADVANCED MICRO DEVICES,11.5282
1161,1,20170731,AMD,7903107,ADVANCED MICRO DEVICES,9.0545
1161,1,20170831,AMD,7903107,ADVANCED MICRO DEVICES,-4.482
1161,1,20170930,AMD,7903107,ADVANCED MICRO DEVICES,-1.9231
1161,1,20171031,AMD,7903107,ADVANCED MICRO DEVICES,-13.8431
1161,1,20171130,AMD,7903107,ADVANCED MICRO DEVICES,-0.8648
1161,1,20171231,AMD,7903107,ADVANCED MICRO DEVICES,-5.6015
1161,1,20180131,AMD,7903107,ADVANCED MICRO DEVICES,33.6576
1161,1,20180228,AMD,7903107,ADVANCED MICRO DEVICES,-11.8632
1161,1,20180331,AMD,7903107,ADVANCED MICRO DEVICES,-17.0107
1161,1,20180430,AMD,7903107,ADVANCED MICRO DEVICES,8.2587
1161,1,20180531,AMD,7903107,ADVANCED MICRO DEVICES,26.1949
1161,1,20180630,AMD,7903107,ADVANCED MICRO DEVICES,9.177
1161,1,20180731,AMD,7903107,ADVANCED MICRO DEVICES,22.2815
1161,1,20180831,AMD,7903107,ADVANCED MICRO DEVICES,37.3159
1161,1,20180930,AMD,7903107,ADVANCED MICRO DEVICES,22.7255
1161,1,20181031,AMD,7903107,ADVANCED MICRO DEVICES,-41.0489
1161,1,20181130,AMD,7903107,ADVANCED MICRO DEVICES,16.9687
1161,1,20181231,AMD,7903107,ADVANCED MICRO DEVICES,-13.3333
1161,1,20190131,AMD,7903107,ADVANCED MICRO DEVICES,32.2319
1161,1,20190228,AMD,7903107,ADVANCED MICRO DEVICES,-3.6051
1161,1,20190331,AMD,7903107,ADVANCED MICRO DEVICES,8.4573
1161,1,20190430,AMD,7903107,ADVANCED MICRO DEVICES,8.268
1161,1,20190531,AMD,7903107,ADVANCED MICRO DEVICES,-0.7962
1161,1,20190630,AMD,7903107,ADVANCED MICRO DEVICES,10.799
1161,1,20190731,AMD,7903107,ADVANCED MICRO DEVICES,0.2634
1161,1,20190831,AMD,7903107,ADVANCED MICRO DEVICES,3.2841
1161,1,20190930,AMD,7903107,ADVANCED MICRO DEVICES,-7.8219
1161,1,20191031,AMD,7903107,ADVANCED MICRO DEVICES,17.0404
1161,1,20191130,AMD,7903107,ADVANCED MICRO DEVICES,15.3846
1161,1,20191231,AMD,7903107,ADVANCED MICRO DEVICES,17.1392
1161,1,20200131,AMD,7903107,ADVANCED MICRO DEVICES,2.4858
1161,1,20200229,AMD,7903107,ADVANCED MICRO DEVICES,-3.234
1161,1,20200331,AMD,7903107,ADVANCED MICRO DEVICES,0
1161,1,20200430,AMD,7903107,ADVANCED MICRO DEVICES,15.1935
1161,1,20200531,AMD,7903107,ADVANCED MICRO DEVICES,2.6914
1161,1,20200630,AMD,7903107,ADVANCED MICRO DEVICES,-2.2119
1161,1,20200731,AMD,7903107,ADVANCED MICRO DEVICES,47.1773
1161,1,20200831,AMD,7903107,ADVANCED MICRO DEVICES,17.293
1161,1,20200930,AMD,7903107,ADVANCED MICRO DEVICES,-9.7225
1161,1,20201031,AMD,7903107,ADVANCED MICRO DEVICES,-8.1717
1327,1,20100131,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-10.5708
1327,1,20100228,SWKS,83088M102,SKYWORKS SOLUTIONS INC,20.331
1327,1,20100331,SWKS,83088M102,SKYWORKS SOLUTIONS INC,2.1611
1327,1,20100430,SWKS,83088M102,SKYWORKS SOLUTIONS INC,7.8846
1327,1,20100531,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-5.3476
1327,1,20100630,SWKS,83088M102,SKYWORKS SOLUTIONS INC,5.3986
1327,1,20100731,SWKS,83088M102,SKYWORKS SOLUTIONS INC,4.4074
1327,1,20100831,SWKS,83088M102,SKYWORKS SOLUTIONS INC,1.6543
1327,1,20100930,SWKS,83088M102,SKYWORKS SOLUTIONS INC,15.9933
1327,1,20101031,SWKS,83088M102,SKYWORKS SOLUTIONS INC,10.8853
1327,1,20101130,SWKS,83088M102,SKYWORKS SOLUTIONS INC,11.0384
1327,1,20101231,SWKS,83088M102,SKYWORKS SOLUTIONS INC,12.4951
1327,1,20110131,SWKS,83088M102,SKYWORKS SOLUTIONS INC,10.9675
1327,1,20110228,SWKS,83088M102,SKYWORKS SOLUTIONS INC,13.1256
1327,1,20110331,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-9.8497
1327,1,20110430,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-2.9012
1327,1,20110531,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-19.0401
1327,1,20110630,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-9.7762
1327,1,20110731,SWKS,83088M102,SKYWORKS SOLUTIONS INC,10.1393
1327,1,20110831,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-18.4907
1327,1,20110930,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-12.9423
1327,1,20111031,SWKS,83088M102,SKYWORKS SOLUTIONS INC,10.3007
1327,1,20111130,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-17.6678
1327,1,20111231,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-0.5518
1327,1,20120131,SWKS,83088M102,SKYWORKS SOLUTIONS INC,33.0456
1327,1,20120229,SWKS,83088M102,SKYWORKS SOLUTIONS INC,24.9768
1327,1,20120331,SWKS,83088M102,SKYWORKS SOLUTIONS INC,2.5213
1327,1,20120430,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-1.8445
1327,1,20120531,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-1.0317
1327,1,20120630,SWKS,83088M102,SKYWORKS SOLUTIONS INC,1.7126
1327,1,20120731,SWKS,83088M102,SKYWORKS SOLUTIONS INC,5.8931
1327,1,20120831,SWKS,83088M102,SKYWORKS SOLUTIONS INC,5.2886
1327,1,20120930,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-22.6527
1327,1,20121031,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-0.7216
1327,1,20121130,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-3.1637
1327,1,20121231,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-10.3753
1327,1,20130131,SWKS,83088M102,SKYWORKS SOLUTIONS INC,17.931
1327,1,20130228,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-11.0276
1327,1,20130331,SWKS,83088M102,SKYWORKS SOLUTIONS INC,3.4038
1327,1,20130430,SWKS,83088M102,SKYWORKS SOLUTIONS INC,0.2043
1327,1,20130531,SWKS,83088M102,SKYWORKS SOLUTIONS INC,8.1106
1327,1,20130630,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-8.2565
1327,1,20130731,SWKS,83088M102,SKYWORKS SOLUTIONS INC,9.799
1327,1,20130831,SWKS,83088M102,SKYWORKS SOLUTIONS INC,5.5128
1327,1,20130930,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-2.0505
1327,1,20131031,SWKS,83088M102,SKYWORKS SOLUTIONS INC,3.8647
1327,1,20131130,SWKS,83088M102,SKYWORKS SOLUTIONS INC,3.062
1327,1,20131231,SWKS,83088M102,SKYWORKS SOLUTIONS INC,7.4088
1327,1,20140131,SWKS,83088M102,SKYWORKS SOLUTIONS INC,5.9174
1327,1,20140228,SWKS,83088M102,SKYWORKS SOLUTIONS INC,17.2231
1327,1,20140331,SWKS,83088M102,SKYWORKS SOLUTIONS INC,5.8094
1327,1,20140430,SWKS,83088M102,SKYWORKS SOLUTIONS INC,9.4083
1327,1,20140531,SWKS,83088M102,SKYWORKS SOLUTIONS INC,5.7734
1327,1,20140630,SWKS,83088M102,SKYWORKS SOLUTIONS INC,8.4276
1327,1,20140731,SWKS,83088M102,SKYWORKS SOLUTIONS INC,8.092
1327,1,20140831,SWKS,83088M102,SKYWORKS SOLUTIONS INC,11.84
1327,1,20140930,SWKS,83088M102,SKYWORKS SOLUTIONS INC,2.4532
1327,1,20141031,SWKS,83088M102,SKYWORKS SOLUTIONS INC,0.3273
1327,1,20141130,SWKS,83088M102,SKYWORKS SOLUTIONS INC,16.0714
1327,1,20141231,SWKS,83088M102,SKYWORKS SOLUTIONS INC,7.7664
1327,1,20150131,SWKS,83088M102,SKYWORKS SOLUTIONS INC,14.2209
1327,1,20150228,SWKS,83088M102,SKYWORKS SOLUTIONS INC,5.8158
1327,1,20150331,SWKS,83088M102,SKYWORKS SOLUTIONS INC,12.0114
1327,1,20150430,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-6.1451
1327,1,20150531,SWKS,83088M102,SKYWORKS SOLUTIONS INC,18.6883
1327,1,20150630,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-4.8098
1327,1,20150731,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-8.098
1327,1,20150831,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-8.4248
1327,1,20150930,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-3.5947
1327,1,20151031,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-8.2769
1327,1,20151130,SWKS,83088M102,SKYWORKS SOLUTIONS INC,7.8198
1327,1,20151231,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-7.456
1327,1,20160131,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-10.2955
1327,1,20160229,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-3.2066
1327,1,20160331,SWKS,83088M102,SKYWORKS SOLUTIONS INC,17.231
1327,1,20160430,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-14.2234
1327,1,20160531,SWKS,83088M102,SKYWORKS SOLUTIONS INC,0.2993
1327,1,20160630,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-5.2127
1327,1,20160731,SWKS,83088M102,SKYWORKS SOLUTIONS INC,4.33
1327,1,20160831,SWKS,83088M102,SKYWORKS SOLUTIONS INC,13.814
1327,1,20160930,SWKS,83088M102,SKYWORKS SOLUTIONS INC,1.7099
1327,1,20161031,SWKS,83088M102,SKYWORKS SOLUTIONS INC,1.0507
1327,1,20161130,SWKS,83088M102,SKYWORKS SOLUTIONS INC,0.2469
1327,1,20161231,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-2.8497
1327,1,20170131,SWKS,83088M102,SKYWORKS SOLUTIONS INC,23.2521
1327,1,20170228,SWKS,83088M102,SKYWORKS SOLUTIONS INC,3.3464
1327,1,20170331,SWKS,83088M102,SKYWORKS SOLUTIONS INC,3.3435
1327,1,20170430,SWKS,83088M102,SKYWORKS SOLUTIONS INC,1.7963
1327,1,20170531,SWKS,83088M102,SKYWORKS SOLUTIONS INC,6.9882
1327,1,20170630,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-9.8468
1327,1,20170731,SWKS,83088M102,SKYWORKS SOLUTIONS INC,9.2965
1327,1,20170831,SWKS,83088M102,SKYWORKS SOLUTIONS INC,0.7724
1327,1,20170930,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-3.284
1327,1,20171031,SWKS,83088M102,SKYWORKS SOLUTIONS INC,11.737
1327,1,20171130,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-7.7288
1327,1,20171231,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-9.347
1327,1,20180131,SWKS,83088M102,SKYWORKS SOLUTIONS INC,2.3802
1327,1,20180228,SWKS,83088M102,SKYWORKS SOLUTIONS INC,12.7147
1327,1,20180331,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-8.2288
1327,1,20180430,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-13.465
1327,1,20180531,SWKS,83088M102,SKYWORKS SOLUTIONS INC,14.0272
1327,1,20180630,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-1.9876
1327,1,20180731,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-2.1417
1327,1,20180831,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-3.0662
1327,1,20180930,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-0.6462
1327,1,20181031,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-4.3545
1327,1,20181130,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-15.687
1327,1,20181231,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-7.9016
1327,1,20190131,SWKS,83088M102,SKYWORKS SOLUTIONS INC,8.9824
1327,1,20190228,SWKS,83088M102,SKYWORKS SOLUTIONS INC,12.322
1327,1,20190331,SWKS,83088M102,SKYWORKS SOLUTIONS INC,1.0042
1327,1,20190430,SWKS,83088M102,SKYWORKS SOLUTIONS INC,6.9108
1327,1,20190531,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-24.0077
1327,1,20190630,SWKS,83088M102,SKYWORKS SOLUTIONS INC,15.9688
1327,1,20190731,SWKS,83088M102,SKYWORKS SOLUTIONS INC,10.3662
1327,1,20190831,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-11.2219
1327,1,20190930,SWKS,83088M102,SKYWORKS SOLUTIONS INC,5.2876
1327,1,20191031,SWKS,83088M102,SKYWORKS SOLUTIONS INC,14.9022
1327,1,20191130,SWKS,83088M102,SKYWORKS SOLUTIONS INC,7.9508
1327,1,20191231,SWKS,83088M102,SKYWORKS SOLUTIONS INC,23.4181
1327,1,20200131,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-6.3948
1327,1,20200229,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-11.0738
1327,1,20200331,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-10.7806
1327,1,20200430,SWKS,83088M102,SKYWORKS SOLUTIONS INC,16.2229
1327,1,20200531,SWKS,83088M102,SKYWORKS SOLUTIONS INC,14.536
1327,1,20200630,SWKS,83088M102,SKYWORKS SOLUTIONS INC,7.8623
1327,1,20200731,SWKS,83088M102,SKYWORKS SOLUTIONS INC,13.8589
1327,1,20200831,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-0.158
1327,1,20200930,SWKS,83088M102,SKYWORKS SOLUTIONS INC,0.4487
1327,1,20201031,SWKS,83088M102,SKYWORKS SOLUTIONS INC,-2.8935
1632,1,20100131,ADI,32654105,ANALOG DEVICES,-14.6295
1632,1,20100228,ADI,32654105,ANALOG DEVICES,8.457
1632,1,20100331,ADI,32654105,ANALOG DEVICES,-0.7524
1632,1,20100430,ADI,32654105,ANALOG DEVICES,3.8515
1632,1,20100531,ADI,32654105,ANALOG DEVICES,-1.8042
1632,1,20100630,ADI,32654105,ANALOG DEVICES,-4.4909
1632,1,20100731,ADI,32654105,ANALOG DEVICES,6.6403
1632,1,20100831,ADI,32654105,ANALOG DEVICES,-5.4191
1632,1,20100930,ADI,32654105,ANALOG DEVICES,12.5538
1632,1,20101031,ADI,32654105,ANALOG DEVICES,7.2976
1632,1,20101130,ADI,32654105,ANALOG DEVICES,5.6133
1632,1,20101231,ADI,32654105,ANALOG DEVICES,6.5523
1632,1,20110131,ADI,32654105,ANALOG DEVICES,3.0794
1632,1,20110228,ADI,32654105,ANALOG DEVICES,2.7041
1632,1,20110331,ADI,32654105,ANALOG DEVICES,-0.7021
1632,1,20110430,ADI,32654105,ANALOG DEVICES,2.3616
1632,1,20110531,ADI,32654105,ANALOG DEVICES,2.7537
1632,1,20110630,ADI,32654105,ANALOG DEVICES,-4.9308
1632,1,20110731,ADI,32654105,ANALOG DEVICES,-12.1104
1632,1,20110831,ADI,32654105,ANALOG DEVICES,-3.2849
1632,1,20110930,ADI,32654105,ANALOG DEVICES,-5.3604
1632,1,20111031,ADI,32654105,ANALOG DEVICES,17.024
1632,1,20111130,ADI,32654105,ANALOG DEVICES,-3.9923
1632,1,20111231,ADI,32654105,ANALOG DEVICES,2.6391
1632,1,20120131,ADI,32654105,ANALOG DEVICES,9.3628
1632,1,20120229,ADI,32654105,ANALOG DEVICES,0.2044
1632,1,20120331,ADI,32654105,ANALOG DEVICES,3.8001
1632,1,20120430,ADI,32654105,ANALOG DEVICES,-3.5149
1632,1,20120531,ADI,32654105,ANALOG DEVICES,-5.9261
1632,1,20120630,ADI,32654105,ANALOG DEVICES,3.5744
1632,1,20120731,ADI,32654105,ANALOG DEVICES,3.743
1632,1,20120831,ADI,32654105,ANALOG DEVICES,2.4565
1632,1,20120930,ADI,32654105,ANALOG DEVICES,-1.4217
1632,1,20121031,ADI,32654105,ANALOG DEVICES,-0.1371
1632,1,20121130,ADI,32654105,ANALOG DEVICES,3.7798
1632,1,20121231,ADI,32654105,ANALOG DEVICES,4.335
1632,1,20130131,ADI,32654105,ANALOG DEVICES,3.7565
1632,1,20130228,ADI,32654105,ANALOG DEVICES,4.3996
1632,1,20130331,ADI,32654105,ANALOG DEVICES,2.8085
1632,1,20130430,ADI,32654105,ANALOG DEVICES,-5.3775
1632,1,20130531,ADI,32654105,ANALOG DEVICES,5.183
1632,1,20130630,ADI,32654105,ANALOG DEVICES,-1.8942
1632,1,20130731,ADI,32654105,ANALOG DEVICES,9.5872
1632,1,20130831,ADI,32654105,ANALOG DEVICES,-5.5893
1632,1,20130930,ADI,32654105,ANALOG DEVICES,1.6638
1632,1,20131031,ADI,32654105,ANALOG DEVICES,4.7821
1632,1,20131130,ADI,32654105,ANALOG DEVICES,-2.1907
1632,1,20131231,ADI,32654105,ANALOG DEVICES,6.3252
1632,1,20140131,ADI,32654105,ANALOG DEVICES,-5.2229
1632,1,20140228,ADI,32654105,ANALOG DEVICES,6.0493
1632,1,20140331,ADI,32654105,ANALOG DEVICES,4.5651
1632,1,20140430,ADI,32654105,ANALOG DEVICES,-3.4814
1632,1,20140531,ADI,32654105,ANALOG DEVICES,2.8466
1632,1,20140630,ADI,32654105,ANALOG DEVICES,3.2264
1632,1,20140731,ADI,32654105,ANALOG DEVICES,-8.2116
1632,1,20140831,ADI,32654105,ANALOG DEVICES,3.0022
1632,1,20140930,ADI,32654105,ANALOG DEVICES,-2.4648
1632,1,20141031,ADI,32654105,ANALOG DEVICES,0.2627
1632,1,20141130,ADI,32654105,ANALOG DEVICES,10.1169
1632,1,20141231,ADI,32654105,ANALOG DEVICES,2.2877
1632,1,20150131,ADI,32654105,ANALOG DEVICES,-6.1509
1632,1,20150228,ADI,32654105,ANALOG DEVICES,13.1177
1632,1,20150331,ADI,32654105,ANALOG DEVICES,7.6187
1632,1,20150430,ADI,32654105,ANALOG DEVICES,-1.8413
1632,1,20150531,ADI,32654105,ANALOG DEVICES,10.5433
1632,1,20150630,ADI,32654105,ANALOG DEVICES,-5.5547
1632,1,20150731,ADI,32654105,ANALOG DEVICES,-9.1221
1632,1,20150831,ADI,32654105,ANALOG DEVICES,-3.5488
1632,1,20150930,ADI,32654105,ANALOG DEVICES,0.9846
1632,1,20151031,ADI,32654105,ANALOG DEVICES,6.5768
1632,1,20151130,ADI,32654105,ANALOG DEVICES,2.5116
1632,1,20151231,ADI,32654105,ANALOG DEVICES,-9.5895
1632,1,20160131,ADI,32654105,ANALOG DEVICES,-2.6392
1632,1,20160229,ADI,32654105,ANALOG DEVICES,-0.8355
1632,1,20160331,ADI,32654105,ANALOG DEVICES,11.7003
1632,1,20160430,ADI,32654105,ANALOG DEVICES,-4.8488
1632,1,20160531,ADI,32654105,ANALOG DEVICES,4.6165
1632,1,20160630,ADI,32654105,ANALOG DEVICES,-3.1795
1632,1,20160731,ADI,32654105,ANALOG DEVICES,12.6942
1632,1,20160831,ADI,32654105,ANALOG DEVICES,-1.3317
1632,1,20160930,ADI,32654105,ANALOG DEVICES,3.0211
1632,1,20161031,ADI,32654105,ANALOG DEVICES,-0.5431
1632,1,20161130,ADI,32654105,ANALOG DEVICES,16.4743
1632,1,20161231,ADI,32654105,ANALOG DEVICES,-2.1821
1632,1,20170131,ADI,32654105,ANALOG DEVICES,3.1947
1632,1,20170228,ADI,32654105,ANALOG DEVICES,9.9279
1632,1,20170331,ADI,32654105,ANALOG DEVICES,0.0244
1632,1,20170430,ADI,32654105,ANALOG DEVICES,-7.0165
