Current Price,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use R values for interest rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calls,,,,,,Calls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strike,Ticker,Bid,Ask,Last,,Strike,Ticker,Bid,Ask,Last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Nov-19 (31d); CSize 100; R 1.89; IFwd 1771.83,,,,,,20-Mar-20 (157d); CSize 100; R 1.97; IFwd 1785.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,AMZN 11/15/19 C1605,174.1,177.5,139.0,,1660,AMZN 3/20/20 C1660,189.9,194.8,169.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,AMZN 11/15/19 C1610,170.4,171.6,168.3,,1670,AMZN 3/20/20 C1670,185.3,188.1,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,AMZN 11/15/19 C1615,165.3,168.7,169.4,,1680,AMZN 3/20/20 C1680,176.8,181.7,153.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,AMZN 11/15/19 C1620,160.9,164.3,161.9,,1690,AMZN 3/20/20 C1690,170.4,175.4,159.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,AMZN 11/15/19 C1625,156.4,160.0,137.4,,1700,AMZN 3/20/20 C1700,165.1,169.1,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,AMZN 11/15/19 C1630,153.1,154.3,153.6,,1710,AMZN 3/20/20 C1710,160.1,162.9,152.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,AMZN 11/15/19 C1635,148.0,151.4,131.0,,1720,AMZN 3/20/20 C1720,154.2,157.0,156.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,AMZN 11/15/19 C1640,144.6,145.9,125.9,,1730,AMZN 3/20/20 C1730,147.1,151.1,149.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,AMZN 11/15/19 C1645,139.4,143.1,122.8,,1740,AMZN 3/20/20 C1740,141.3,145.4,145.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,AMZN 11/15/19 C1650,135.6,138.9,117.7,,1750,AMZN 3/20/20 C1750,135.8,139.8,138.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
